"id","title","text","subject","date"
"33","Apple Rilis MacBook Pro yang Dibekali Chipset M3","MacBook Pro M3 memperkenalkan Apple dalam acara Scary Fast, Selasa (31/10). Laptop terbaru Apple ini diklaim lebih ngebut. Lantas seperti apa spesifikasinya?","DETIKINET","31-Oct-2023"
"34","HYBE Bantah 2 Member BTS Terlibat Kasus Narkoba Lee Sun Kyun","Dua member BTS terseret kasus narkoba Lee Sun Kyun. Agensi HYBE membantah keras tudingan tersebut.","DETIKHOT","31-Oct-2023"
"35","Serangan Cyber di Israel Meningkat Imbas Konflik dengan Hamas","Konflik antara Hamas vs Israel terus berlangsung. Selama konflik dilaporkan jumlah serangan cyber terhadap Israel turut meningkat.","DETIKINET","31-Oct-2023"
"36","AS Minta Nvidia Setop Ekspor Chip AI ke China","Amerika Serikat (AS) memerintahkan Nvidia untuk menghentikan ekspor chip AI ke China. Dilansir BBC, AS juga membatasi ekspor chip AI ke Iran dan Rusia.","DETIKINET","31-Oct-2023"
"37","5 Juta PRT di Indonesia Terima Upah di Bawah UMR","Jala PRT menyebut ada 5 juta Pekerja Rumah Tangga menunjukkan angka kemiskinan. Hal itu terjadi lantaran masih menerima upah di bawah UMR.","DETIKNEWS","31-Oct-2023"
"38","Angga Yunanda Deg-degan Harus Bicara Bahasa Jawa di Film Budi Pekerti","Angga Yunanda merasa tertantang di film Budi Pekerti karena ia harus berdialog dengan bahasa Jawa. Hal itu sempat membuat dirinya deg-degan.","DETIKHOT","31-Oct-2023"
"39","Studi: Pencairan Es di Antartika Tak Bisa Dihindari","Penelitian menemukan bahwa sebagian besar wilayah Antartika akan mengalami pencairan. Bahkan, jika ada upaya penurunan emisi karbon, pencairan tetap terjadi.","DETIKINET","31-Oct-2023"
"40","Kapal Cruise Celebrity Solstice Sandar di Bali, Indonesia Potensi Raup Cuan","Kapal Cruise Celebrity Solstice tiba di Tanjung Benoa Bali, Senin (30/10). Para penumpang akan berada di Bali selama 2 hari untuk mengunjungi tempat wisata.","DETIKTRAVEL","30-Oct-2023"
"41","Bang Ye Dam Siap Debut Solo Pada 23 November 2023","GF Entertainment merilis tanggal debut solo Bang Ye Dam. Mantan member TREASURE itu akan debut solo pada 23 November 2023 mendatang.","DETIKHOT","30-Oct-2023"
"42","Bunga Penghormatan Fans untuk Matthew Perry di Depan Apartemen 'Friends'","Para penggemar memberikan penghormatan untuk mendiang Matthew Perry. Mereka meletakkan karangan bunga di depan apartemen yang ditampilkan dalam sitkom 'Friends'","DETIKHOT","30-Oct-2023"
"43","Adakah Genre Musik Khusus untuk Tingkatkan Fokus? Ini Kata Peneliti","Apakah ada genre musik tertentu yang bisa meningkatkan fokus? Nah, peneliti psikologi musik Christ Billy Aryanto pun memberikan penjelasannya kepada 20Detik","DETIKHEALTH","30-Oct-2023"
"44","Menghambat Bantuan ke Gaza Jadi Kejahatan di Bawah Yurisdiksi ICC","Menghambat pasokan bantuan penduduk Gaza merupakan kejahatan. Terutama di bawah yurisdiksi Pengadilan Kriminal Internasional (ICC).","DETIKNEWS","30-Oct-2023"
"45","Polisi Temukan Obat Anti Depresan-Paru di Rumah Matthew Perry","Penyebab kematian Matthew Perry belum diketahui karena menunggu hasil uji toksikologi. Kepolisian LA menemukan obat antidepresan hingga paru di rumahnya.","DETIKHOT","30-Oct-2023"
"46","Upaya Kemenparekraf Kejar Target 1,4 Miliar Wisatawan di 2023","Kemenparekraf tengah mengejar target 1,4 miliar pergerakan wisatawan. Salah satu upayanya dengan memperbanyak gelaran sport tourism.","DETIKTRAVEL","29-Oct-2023"
"47","Sensasi Keliling Dunia di Agrowisata Bhumi Merapi","Kalau traveler mencari tempat wisata di Yogyakarta, Agrowisata Bhumi Merapi bisa jadi pilihannya. Di sini traveler bisa merasa seperti baru saja keliling dunia.","DETIKTRAVEL","29-Oct-2023"
"48","Mengenang Perjalanan Karier Matthew Perry 'Friends'","Kepergian Matthew Perry tentunya mengejutkan penggemar serial 'Friends'. Lantas seperti apa perjalanan Perry semasa hidup?","DETIKHOT","29-Oct-2023"
"49","MY DAY yang Langsung 'PCD' Seusai Konser Young K DAY6 Selesai","MY DAY mengungkapkan perasaan mereka seusai konser 'Young K Solo Concert in Jakarta', Sabtu (28/10). Yuk intip review mereka soal konser perdana Young K!","DETIKHOT","29-Oct-2023"
"50","Selamat! Jakarta Masuk 10 Kota Terbaik untuk Traveler Tahun 2024","Lonely Planet merilis daftar destinasi terbaik untuk traveling di 2024. Jakarta menjadi salah satu kota yang masuk dalam 10 besar kota Best in Travel 2024.","DETIKTRAVEL","29-Oct-2023"
"51","Energi Young K DAY6 dan MY DAY yang Tak Ada Habisnya di Konser Jakarta","Young K DAY6 sukses menggelar konser perdananya di Jakarta pada Sabtu (28/10). Energinya itu pun selaras dengan MY DAY yang ikut bernyanyi bersama.","DETIKHOT","29-Oct-2023"
"52","Melihat Atraksi 'Globe of Death' Pakai Motor Listrik di IMOS 2023","Atraksi 'Globe of Death' menggunakan motor listrik menjadi perhatian pengunjung di acara IMOS 2023. Bagaimana keseruannya?","DETIKINET","29-Oct-2023"
"53","Respons Mikha Tambayong soal Banyak yang Olahraga karena Tren","Banyaknya acara sportainment membuat beberapa cabang olahraga menjadi tren. Mikha Tambayong menilai populernya olahraga tetap berdampak positif.","DETIKHOT","29-Oct-2023"
"54","Disney Rilis Penampilan Perdana 'Snow White' Live Action","Rachel Zegler didapuk memerankan Putri Salju di 'Snow White' live action. Penampilan perdananya itu pun dirilis oleh Disney.","DETIKHOT","29-Oct-2023"
"55","3 Alumni Idol yang Paling Dekat dengan Tiara Andini","Tiara Andini merupakan penyanyi jebolan ajang pencarian bakat Indonesian Idol. Tiara pun membeberkan siapa tiga alumni Idol yang paling dekat dengannya.","DETIKHOT","29-Oct-2023"
"56","Angelina Jolie: Kehidupan Warga Palestina dan Israel Sama Pentingnya","Angelina Jolie mengunggah postingan di Instagram terkait konflik Hamas-Israel. Ia mengutuk serangan Hamas di Israel, tapi tak membenarkan tindakan Israel.","DETIKHOT","29-Oct-2023"
"57","3 Lagu yang Lagi Sering Diputar Tiara Andini, Apa Saja?","Ada 3 lagu yang sering diputar oleh Tiara Andini akhir-akhir ini. Kira-kira lagu apa saja ya?","DETIKHOT","29-Oct-2023"
"58","Bangun Gaya Hidup Olahraga, Kemenpora Libatkan Komunitas","Kemenpora tengah membangun kesadaran dan pentingnya olahraga di masyarakat. Salah satunya dengan melibatkan komunitas dan sportstainment.","DETIKSPORT","29-Oct-2023"
"59","Tiara Andini soal Viral 'Semesta' dan 'Titi, Hari Ini Aku Usai Titi'","Lagu-lagu yang dinyanyikan Tiara Andini seperti 'Bahaya' dan 'Usai' viral di media sosial gara-gara tren TikTok. Tiara pun menceritakan perasaannya...","DETIKHOT","28-Oct-2023"
"60","Ngobrol Bareng Zoe Abbas soal Hate Comment-Cara Jaga Mood","Zoe Abbas ternyata sering baca hate comment di media sosial. Lantas, bagaimana cara Zoe menjaga mood tetap baik setelah baca itu?","DETIKHOT","28-Oct-2023"
"61","17 Kasus Mpox di DKI,  Tertular Lewat Kontak Seksual","Kemenkes catat 17 orang yang teridentifikasi kasus cacar monyet di DKI, satu kasus di 2022 dinyatakan sembuh.","DETIKHEALTH","27-Oct-2023"
"62","Sri Lanka Bebaskan Visa untuk Wisatawan Indonesia","Pemerintah Sri Lanka menyetujui pemberian visa gratis untuk turis dari 7 negara. Salah satu negara yang diberikan adalah Indonesia.","DETIKTRAVEL","26-Oct-2023"
"63","Biden Ogah Percaya Jumlah Korban Tewas Akibat Serangan Israel di Gaza","Presiden AS Joe Biden tak percaya jumlah korban tewas akibat serangan brutal Israel di Gaza. Bahkan Biden sebut warga sipil yang tewas adalah harga dari perang","DETIKNEWS","26-Oct-2023"
"64","Tuntutan JPU untuk Johnny G Plate Cs di Kasus Korupsi BTS 4G","Johnny G Plate, Anang Achmad Latif, hingga Yohan Suryanto telah menjalani sidang tuntutan terkait kasus korupsi tower BTS 4G, Rabu (25/10). Berikut tuntutannya","DETIKINET","26-Oct-2023"
"65","Konser SHI 2023 Diundur, Cek Cara Refund dan Deposit Tiketmu","Konser Saranghaeyo Indonesia (SHI) 2023 yang seharusnya digelar pada 9 Desember 2023 diundur. Mecimapro pun memberikan informasi terkait tata cara refund.","DETIKHOT","25-Oct-2023"
"66","Polisi Sebut Kasus Narkoba G-Dragon Berbeda dengan Lee Sun Kyun","Kepolisian angkat bicara terkait spekulasi bahwa G-Dragon terkait dengan kasus narkoba Lee Sun Kyun. Polisi menyebut kedua kasus tersebut berbeda.","DETIKHOT","25-Oct-2023"
"67","Sikap Google Seusai Mahkamah Keluarga Muncul di GMaps","Google buka suara soal tanda 'Mahkamah Keluarga' di lokasi Google Maps gedung Mahkamah Konstitusi (MK). Google pun mengambil sikap tegas terhadap akun pengedit.","DETIKINET","25-Oct-2023"
"68","God Bless Akan Tampil dengan Semangat Muda di Konser Emas 50 Tahun","God Bless akan menggelar konser ""God Bless 50 Tahun Konser Emas with Tohpati Orchestra"", 10 November 2023 mendatang. Achmad Albar berjanji akan tampil semangat.","DETIKHOT","25-Oct-2023"
"69","Louis Tomlinson Gelar Konser di Jakarta Januari 2024","Kabar baik bagi para penggemar Louis Tomlinson. Penyanyi asal Inggris ini akan gelar konser di Jakarta tanggal 24 Januari 2024.","DETIKHOT","25-Oct-2023"
"70","Makna Kain Tenun Sumba yang Dipakai Ketiga Capres-Cawapres di KPU","KPU beri oleh-oleh kain tenun Sumba NTT untuk capres-cawapres. Ternyata kain tenun tersebut memiliki makna cukup dalam.","DETIKTRAVEL","25-Oct-2023"
"71","Kolaborasi Kim Nam Gil dan Kim Young Kwang di Serial 'Trigger' Netflix","Netflix akan merilis serial berjudul 'Trigger'. Serial bergenre thriller ini akan menampilkan kolaborasi Kim Nam Gil dan Kim Young Kwang yang memukau.","DETIKHOT","25-Oct-2023"
"72","Selebriti Terkenal Korea Terseret Kasus Narkoba Lee Sun Kyun","Sesusai aktor Lee Sun Kyun terseret kasus narkoba, selebriti terkenal Korea juga tersandung kasus yang sama. Namun belum diketahui namanya.","DETIKHOT","25-Oct-2023"
"73","G-Dragon Dikabarkan Tersandung Kasus Narkoba","G-Dragon disebut sebagai artis yang terseret kasus penyalahgunaan narkoba Lee Sun Kyun. YG Entertainment angkat bicara terkait hal ini.","DETIKHOT","25-Oct-2023"
"74","Ini Alasan Mengapa Palestina Tidak Ada di Google Maps","Heboh mengenai wilayah Palestina yang tidak ada di Google Maps. Kini wilayah Palestina belum juga muncul di peta daring Google tersebut. Mengapa demikian?","DETIKINET","25-Oct-2023"
"75","Fakta-fakta Cacar Monyet di Indonesia","Tercatat ada 9 kasus cacar monyet di Indonesia, Selasa (24/10). Tujuh pasien dikonfirmasi ada kontak seksual. Kemenkes akan melakukan vaksinasi untuk 500 orang.","DETIKHEALTH","25-Oct-2023"
"76","Kandasnya Asmara Jisoo BLACKPINK dan Ahn Bo Hyun","Hubungan asmara Jisoo BLACKPINK dan Ahn Bo Hyun dikabarkan kandas. Kabar tersebut dikonfirmasi YG Entertainment.","DETIKHOT","24-Oct-2023"
"77","Kemenkes Sediakan 1.000 Vaksin Cacar Monyet untuk 500 Orang","Kemenkes mulai melakukan vaksinasi cacar monyet. Sekitar 1.000 dosis vaksin disediakan untuk 500 orang.","DETIKHEALTH","24-Oct-2023"
"78","Marvel's Spider-Man 2 PS5 Pecahkan Penjualan Tercepat Selama 24 Jam","Marvel's Spider-Man 2 memecahkan rekor. Game tersebut menjadi game dengan penjualan tercepat dalam 24 jam pembukaannya.","DETIKINET","24-Oct-2023"
"79","Dwayne Johnson Soroti Patung Lilin Dirinya yang Terlalu Putih","Dwayne Johnson soroti patung lilin dirinya yan dibuat oleh Museum Grevin, Prancis. Ia menyebut jika warna kulit patung tersebut terlalu putih untuk dirinya.","DETIKHOT","24-Oct-2023"
"80","Waspada! Modus Penipuan Donasi Palestina Beredar Lewat Email dan Situs","Modus donasi untuk Palestina beredar di email dan situs. Pelaku sudah menyebarkan lebih dari 500 email penipuan dan membuat situs web palsu.","DETIKNEWS","24-Oct-2023"
"81","Tips Merawat Kain Tenun Berbahan Pewarna Alam Agar Awet","Merawat kain tenun yang berbahan pewarna alam tak bisa sembarangan. Agar warna kain tenun bisa tahan lama, pencucian kain perlu diperhatikan.","WOLIPOP","24-Oct-2023"
"82","Jisoo BLACKPINK dan Lee Min Ho Dikabarkan Bakal Main Film Bareng","Jisoo BLACKPINK dikabarkan bakal main di film 'Omniscient Reader's Perspective'. Nantinya ia akan beradu akting dengan Lee Min Ho hingga Ahn Hyo Seop.","DETIKHOT","24-Oct-2023"
"83","Syifa Hadju Ungkap Pernikahan Impiannya","Syifa Hadju ungkap pernikahan impiannya. Ia menyebut lebih suka pesta yang 'intimate', hanya dihadiri orang-orang terdekat.","DETIKHOT","24-Oct-2023"
"84","WhatsApp Tak Bisa Akses Ponsel Berikut Mulai Hari Ini","Beberapa ponsel android tak akan bisa lagi menggunakan layanan WhatsApp. Kebijakan tersebut merupakan imbas keterbatasan dukungan terhadap sistem operasi.","DETIKINET","24-Oct-2023"
"85","Stevens Johnson Syndrome, Penyakit Kulit yang Tergolong Berbahaya","Stevens Johnson Syndrome merupakan penyakit kulit yang menjadikan kulit memerah dan nampak seperti luka bakar. Kelainan di kulit ini tergolong berbahaya","DETIKHEALTH","24-Oct-2023"
"86","Cut Mini-Sarah Sechan Dukung Jefri Nichol Menang Adu Jotos Lawan El Rumi","Jefri Nichol bakal adu tojos dalam laga sportainment melawan El Rumi. Sarah Sechan dan Cut Mini dukung Jefri menang dalam laga tersebut.","DETIKHOT","23-Oct-2023"
"87","Bicara Tahun Politik, Sandiaga Uno: Menterinya Tidak ke Mana-mana","Sandiaga Uno berbicara mengenai dinamika di tahun politik. Ia sempat bergurau bahwa Kemenparekraf tak berdinamika karena dirinya tak kemana-mana.","DETIKTRAVEL","23-Oct-2023"
"88","Jelang Konser di Jakarta, Young K DAY6 Ungkap Makna Album Terbarunya","Young K DAY6 ungkap makna album 'Letter with Notes'. Ia berharap albumnya tersebut dapat menyampaikan perasaan dan sentimen yang beragam.","DETIKHOT","23-Oct-2023"
"89","Bantahan Aktor Ji Soo Soal Tuduhan Bullying Dua Tahun Lalu","Dua tahun setelah kasus bullying yang menyeretnya, aktor Ji Soo akhirnya buka suara. Ia pun membantah semua tuduhan tersebut.","DETIKHOT","23-Oct-2023"
"90","Sandiaga Pastikan Investasi Sektor Pariwisata Tak Terpengaruh Dinamika Politik","Sandiaga Uno, memastikan sektor pariwisata dan ekonomi kreatif tak terpengaruh dinamika politik jelang Pemilu 2024. Sandi justru melihat adanya peluang wisata.","DETIKTRAVEL","23-Oct-2023"
"91","Bakal Debut di JFW, Tobatenun Tampilkan Fashion Tenun Tradisional-Kontemporer","Tobatenun akan tampil di Jakarta Fashion Week 2023. Di debutnya, Tobatenun akan memperkenalkan karya yang menggabungkan seni tradisional dan kontemporer","WOLIPOP","23-Oct-2023"
"92","Chen EXO Gelar Pesta Pernikahan Setelah 3 Tahun Menikah","Upacara pernikahan Chen EXO telah digelar, tepatnya di Lotte Signiel, Seoul pada Minggu (22/10). Salah seorang tamu menyebut semua member EXO hadir.","DETIKHOT","23-Oct-2023"
"93","Catherine Wilson dan Suami Absen Sidang Cerai Perdana","Catherine Wilson dan Idham Mase dijadwalkan menjalani sidang cerai perdana di PA Jakarta Selatan pada Senin (23/10). Namun keduanya absen dari panggilan.","DETIKHOT","23-Oct-2023"
"94","Parade Mahakarya Vokasi Adibusana JMFW 2024 Wujud Kurikulum Merdeka","Kreativitas pelajar bisa diwujudkan dalam beragam cara. Tepatnya dengan mengadakan Parade Mahakarya Vokasi Adibusana pada Jakarta Muslim Fashion Week 2023.","DETIKNEWS","23-Oct-2023"
"95","Mengenal Penyakit Kulit Stevens Johnson Syndrome","Stevens Johnson Syndrome merupakan sebuah penyakit kulit yang tergolong berbahaya karena bisa merenggut nyawa. Lantas, apa itu Stevens Johnson Syndrome?","DETIKHEALTH","23-Oct-2023"
"96","Tambahkan 'Teroris' ke Bio Akun Orang Palestina, Instagram Minta Maaf","Meta minta maaf karena menambahkan kata teroris ke bio yang menuliskan kata Palestina. Selain itu IG juga menghadapi tuduhan lainnya.","DETIKINET","23-Oct-2023"
"97","Aktor Lee Sun Kyun Ditetapkan Sebagai Tersangka Kasus Narkoba","Aktor Korea Selatan Lee Sun Kyun kini ditetapkan sebagai tersangka atas kasus narkoba yang menjeratnya. Ia pun sudah keluar dari proyek drama 'No Way Out'.","DETIKHOT","23-Oct-2023"
"98","Update Kasus Cacar Monyet di Jakarta, Gejala hingga Prioritas Vaksin","Ditemukan 7 kasus cacar monyet di DKI Jakarta. Pihak Dinkes DKI Jakarta melaporkan ketujuh pasien tersebut semuanya laki-laki dengan gejala yang bermacam-macam.","DETIKHEALTH","23-Oct-2023"
"99","Dokter di Palestina: 40% Korban Ledakan di RS Gaza Anak-anak","Salah satu dokter di Palestina, Ghassan Abusittah, menyebut bahwa 40% dari ledakan di RS di Gaza merupakan anak-anak.","DETIKNEWS","19-Oct-2023"
"100","Ini Bahaya Jika Charger HP Dicolok Terus di Stopkontak","Terbiasa membiarkan charger HP dibiarkan tertancap ke stopkontak padahal tidak digunakan? Hentikan kebiasaan ini karena ada sejumlah bahaya yang mengintai.","DETIKINET","19-Oct-2023"
"101","Britney Spears Akui Pernah Lakukan Aborsi Anak Justin Timberlake","Dalam autobiografi Britney Spears, 'The Woman in Me', ia bercerita pernah melakukan aborsi. Tepatnya ketika berpacaran dengan Justin Timberlake 1990-2000 awal","DETIKHOT","18-Oct-2023"
"102","Dijahili Susan Sameh Makan Jengkol, Yoshi Sudarso Trauma","Pemeran Wedding Agreement The Series Season 2 sempat ceritakan momen menarik saat syuting. Susan Sameh pun bagikan momen lucunya yang menjahili Yoshi Sudarso.","DETIKHOT","17-Oct-2023"
"103","Inara Rusli Bisnis Demi Penuhi Kebutuhan Bulanan","Inara Rusli mengaku berbisnis untuk memenuhi kebutuhan bulanan. Baik untuk dirinya dan anak-anaknya.","DETIKHOT","17-Oct-2023"
"104","iKON yang Tak Sabar Senang-senang Bareng iKONIC Indonesia","Konser iKON bertajuk siap digelar pada 19 November 2023. Bobby cs pun mengaku tak sabar ingin segera bertemu iKONIC Indonesia.","DETIKHOT","17-Oct-2023"
"105","Aksi Kunto Aji Tutup Gelaran Talkshow Inspiratif 'Pesta Kita'","Gelaran talkshow inspiratif untuk anak muda 'Pesta Kita' ramai diikuti ratusan peserta. Penampilan Kunto Aji menjadi penutup acara tersebut.","DETIKHOT","15-Oct-2023"
"106","Ari Wibowo: Papa Meninggal Sangat Tenang","Ayah Ira dan Ari Wibowo meninggal di usia 94 tahun. Ari menyebut bahwa ayahnya itu meninggal dalam keadaan sangat tenang.","DETIKHOT","15-Oct-2023"
"107","Album 'LayOver' V BTS Dulang Kesuksesan di UK Official Chart","Album V BTS 'LayOver sukses di UK. Pencapaian tersebut menjadikan V sebagai artis solo K-Pop pertama yang menduduki chart terlama di UK Official Chart.","DETIKHOT","15-Oct-2023"
"108","Rian Fahardhi 'Presiden Gen Z' Dorong Anak Muda Berani Bicara di Pesta Kita","Rian Fahardhi jadi influencer yang dikenal kritis di media sosial. Dalam gelaran diskusi Pesta Kita, Rian meminta generasi muda tak takut bersuara.","DETIKHOT","15-Oct-2023"
