"id","title","text","subject","date"
"63","Polisi Usut Penyebar Hoax 'Perampokan Bersenpi Tewaskan 3 Orang' di Jakbar","Polisi memastikan narasi perampokan bersenpi tewaskan 3 orang pada video viral adalah hoax. Polisi kini mengusut penyebar hoax itu.","DETIKNEWS","20-May-2022"
"64","Emak-emak hingga Pemotor, Ini Kasus Beruntun Hoax Begal di Boyolali","Jagat maya Boyolali belakangan ini dihebohkan dengan kasus begal sadis di Boyolali. Ternyata setelah ditelisik pengakuan itu hoax belaka.","DETIKJATENG","28-Apr-2022"
"65","Prank! Informasi Begal Sadis di Jalur SSB Boyolali Ternyata Rekayasa","Dunia maya Boyolali kembali dihebohkan dengan rekayasa begal. Ternyata informasi begal di di jalur wisata Solo-Selo-Borobudur (SSB) Dukuh Pule juga bohong.","DETIKJATENG","28-Apr-2022"
"66","Heboh Emak-emak di Boyolali Ngaku Dibegal, Tapi Ternyata...","Jagat maya Boyolali sempat dihebohkan dengan kabar seorang emak-emak menjadi korban begal, Selasa (26/4) malam. Lalu seperti apa faktanya?","DETIKJATENG","27-Apr-2022"
"67","Viral Video Anak Digorok Ibu Gegara Bangunkan Sahur, Begini Faktanya","Video dinarasikan anak digorok ibunya karena bangunkan sahur, viral di media sosial. Faktanya, ibu korban tidak digorok dan kejadian tersebut tidak disengaja.","DETIKNEWS","18-Apr-2022"
"68","Geger Diduga Klithih di Simpang 3 Barat Mirota Kampus Jogja Ternyata Hoax!","Pemuda berinisial AK (25) warga Gedongtengen, Jogja berurusan dengan kepolisian karena menyebarkan berita bohong menjadi korban klithih di simpang 3 Mirota.","DETIKJATENG","16-Apr-2022"
"69","Heboh Nama Dosen UNS Jadi Mentor Demo 11 April, Ini Faktanya","Nama seorang dosen Fakultas Hukum UNS Solo, Isharyanto viral disebut sebagai mentor aksi demonstrasi 11 April di Jakarta. Seperti apa faktanya?","DETIKJATENG","11-Apr-2022"
"70","Viral Video Demo Ricuh hingga Tutup Jalan Tol, Dipastikan Video Lama","Sejumlah video demo ricuh bermunculan menjelang demo hari ini 11 April. Polisi memastikan video itu adalah video lama.","DETIKNEWS","11-Apr-2022"
"71","Fakta di Balik Terawan Jadi 'Milik' Jerman Usai Dipecat IDI","Viral beredar informasi Terawan yang direkrut dan bertugas di Jerman usai 'dipecat' dari IDI. Namun, berita itu dipastikan hoax. Berikut penjelasannya.","DETIKHEALTH","07-Apr-2022"
"72","Heboh Buruh Rokok di Kudus Tak Kunjung Pulang, Ini Faktanya","Sejumlah buruh rokok di Kudus, Jawa Tengah, dikabarkan tertahan tak kunjung pulang hingga larut petang tersebar di media sosial WhatsApp. Seperti apa faktanya?","DETIKJATENG","16-Mar-2022"
"73","Beredar Pesan 'Lowongan Dokter Pribadi Kepala BNPB', Dipastikan Hoax!","Pesan berisi informasi lowongan dokter pribadi Kepala BNPB beredar lewat WhatsApp. BNPB menyatakan pesan tersebut merupakan kabar bohong alias hoax.","DETIKNEWS","08-Mar-2022"
"74","Kemenag Tepis Kabar soal Menag Yaqut Minta Warga Hormati LGBT: Hoax!","Kemenag membantah kabar yang menyatakan Menag Yaqut Cholil Qoumas meminta masyarakat menghormati LGBT. Kemenag memastikan itu hoax.","DETIKNEWS","05-Mar-2022"
"75","Viral Kabar Anies Ditahan KPK, Ini Faktanya","Ramai beredar kabar Gubernur DKI Jakarta Anies Baswedan ditahan KPK. Bagaimana faktanya?","DETIKNEWS","25-Feb-2022"
"76","Jubir: Lukas Enembe Deklarasi Independent Papuan Movement Hoax!","Gambar Gubernur Papua Lukas Enembe akan deklarasi Independent Papuan Movement beredar di medsos. Informasi tersebut dipastikan kabar bohong (hoax).","DETIKNEWS","19-Feb-2022"
"77","Viral Petugas Tersetrum-Terbakar di Tiang Listrik Pasuruan, Polisi: Hoaks","Beredar video orang tersetrum dan terbakar di tiang listrik. Kejadian dalam video disebut di Nguling, Kabupaten Pasuruan. Benarkah?","DETIKJATIM","15-Feb-2022"
"78","Waspada, Iklan Sertifikat Resmi Tanpa Vaksinasi Hoax Lur!","Iklan jasa pembuatan sertifikat vaksin COVID-19 tanpa melakukan vaksinasi terlebih dahulu beredar di media sosial.","DETIKJATENG","11-Feb-2022"
"79","Beredar Berita Sultan Dikaitkan COVID Sandiwara China, Pemda DIY: Hoax!","Pemda DIY memastikan pesan berantai Gubernur DIY Sri Sultan HB X minta jangan takuti rakyat yang dikaitkan narasi tentang COVID sandiwara China adalah hoax.","DETIKJATENG","08-Feb-2022"
"80","Beredar Kabar Tak Pakai Masker Denda Rp 250 Ribu, Polda Metro: Hoax!","Disebutkan dalam pesan tersebut bahwa yang tak pakai masker akan didenda Rp 250 ribu. Polisi memastikan pesan itu hoax.","DETIKNEWS","04-Feb-2022"
"81","Video Jembatan Ambruk Disebut di Samarinda, Faktanya Bukan di Indonesia","Video sekelompok orang berjalan di atas jembatan yang kemudian ambruk ke air ramai disebut terjadi di Samarinda. Faktanya, kejadiannya bukan di Indonesia.","DETIKNEWS","16-Jan-2022"
"82","Kantor Walkot Jakbar Diviralkan Rusak Akibat Gempa, Ini Faktanya","Video menunjukkan gedung Kantor Wali Kota Jakarta Barat disertai narasi gedung rusak akibat gempa M 6,6 yang terjadi di Jakarta viral. Bagaimana faktanya?","DETIKNEWS","14-Jan-2022"
"83","Polisi di Singkawang Diviralkan Berbahasa China di Publik, Begini Faktanya","Video polisi di Singkawang, Kalbar, bicara menggunakan bahasa China di ruang publik diviralkan. Polres Singkawang mengungkap fakta di balik video tersebut.","DETIKNEWS","13-Jan-2022"
"84","Video Viral Hutan Baluran Banjir Dipastikan Hoax, Polisi: Itu Video Lama","Sebuah video yang memperlihatkan banjir di jalan raya di kawasan hutan Baluran, Situbondo viral. Ternyata video tersebut hoaks.","DETIKNEWS","12-Jan-2022"
"85","Beredar Video Ledakan Parah di Dubai Ternyata 3 Insiden Lama Beda Negara","Video kecelakaan truk tanker hingga menyebabkan ledakan dan kebakaran hebat ramai beredar. Peristiwa itu disebut terjadi di Dubai. Bagaimana faktanya?","DETIKNEWS","27-Dec-2021"
"86","Awas Ikut Tertipu! Sejumlah Warga ke Kantor PLN Bali Gegara Hoax Rekrutmen","Informasi palsu (hoax) mengenai perekrutan pegawai PT PLN tersebar di Bali. PLN memastikan sedang tak membuka rekrutmen.","DETIKNEWS","22-Dec-2021"
"87","Beredar Pesan Gambar KPK Pantau Muktamar NU di Lampung, Ini Faktanya","Ali memastikan bahwa gambar yang tersebar tersebut bukan berasal dari KPK. Ia menyarankan masyarakat benar-benar mengadukannya ke kontak resmi KPK.","DETIKNEWS","21-Dec-2021"
"88","Viral Video Ayah Pukuli Anak Pakai Balok Kayu, Begini Faktanya","Sebuah video seorang ayah memukuli anaknya dengan balok kayu viral. Bagaimana faktanya?","DETIKNEWS","06-Dec-2021"
"89","Video Mobil Ngebut 190 Km/Jam Dikaitkan Vanessa Angel, Dipastikan Hoax!","Beredar video yang menunjukkan speedometer Pajero Sport berkecepatan 190 km/jam dengan narasi bahwa itu adalah kecepatan mobil keluarga Vanessa Angel.","DETIKNEWS","05-Nov-2021"
"90","Muncul Isu Liar Jokowi Joget Tanpa Masker di Papua, Ini Faktanya","Video Presiden Jokowi berjoget di Kaimana, Papua Barat, dikaitkan dengan situasi pandemi COVID-19 diviralkan di medsos. Begini faktanya.","DETIKNEWS","06-Oct-2021"
"91","Beredar Edaran Penerima Bantuan Pesantren, Kemenag Pastikan Hoax!","Kemenag menyatakan surat mengatasnamakan Direktur Pendidikan Diniyah dan Pondok Pesantren (PD Pontren) tentang bantuan pesantren tidak benar (hoax).","DETIKNEWS","18-Sep-2021"
"92","5 Bersaudara di Surabaya Butuh Diadopsi karena Papa-Mama Meninggal COVID-19 Hoaks","Beredar foto di medsos memperlihatkan 5 anak bersaudara bernarasi dua orangtuanya meninggal COVID-19 dan menunggu diadopsi. Informasi tersebut diketahui hoaks.","DETIKNEWS","08-Sep-2021"
"93","Minta Maaf, Ustaz Royan Jelaskan Viral 5 Polisi Angkat Poster 'Demo' Jokowi","Ustaz yang foto bersama lima polisi mengangkat poster di Lampung memberi klarifikasi. Dia juga meminta maaf.","DETIKNEWS","08-Sep-2021"
"94","Viral Bawang Putih Tarik Cairan dari Paru-paru Pasien Corona, Ini Faktanya","Unggahan di media sosial menyebut memasukan bawang putih ke hidung bisa mengeluarkan cairan dari paru-paru pasien COVID-19. Dipastikan hoaks, ini faktanya.","DETIKHEALTH","08-Sep-2021"
"95","Awas Hoax! Viral Info Vaksin Palsu Beredar di Indonesia, Ini Faktanya","Tangkapan layar sebuah artikel viral baru-baru ini, menyebut temuan WHO soal peredaran vaksin COVID-19. Disebutkan, vaksin palsu beredar juga di Indonesia.","DETIKHEALTH","28-Aug-2021"
"96","Hoax Pesan Bantuan Subsidi Gaji Rp 3,5 Juta, Jangan Dibuka!","BPJS Ketenagakerjaan (BPJAMSOSTEK) memastikan pesan berantai yang beredar di WhatsApp soal bantuan subsidi gaji/upah sebesar Rp 3.550.000 tidak benar alias hoax","DETIKFINANCE","19-Aug-2021"
"97","2 Sekolah Ditolak Warga Bondowoso Jadi Tempat Isolasi, Satgas Tak Patah Arang","Warga Bondowoso menolak sekolah jadi tempat isolasi. Satgas COVID-19 mengaku tak patah arang. Mereka tetap berupaya maksimal memberi edukasi dan pemahaman.","DETIKNEWS","27-Jul-2021"
"98","Viral Video Demo Rusuh di Jl Gajah Mada, Polisi Pastikan Hoax!","Video aksi demo rusuh beredar di tengah isu seruan aksi 'Jokowi End Game'. Video tersebut dinarasikan sebagai situasi di Gajah Mada saat ini.","DETIKNEWS","24-Jul-2021"
"99","Heboh Ajakan Tolak PPKM Darurat di Pekalongan, Ini Kata Polisi","Beberapa hari ini di Kabupaten maupun Kota Pekalongan, Jawa Tengah beredar ajakan aksi penolakan PPKM Darurat. Begini penelusuran polisi.","DETIKNEWS","16-Jul-2021"
"100","Heboh Tim COVID Buru Warga Tanjungpinang Langgar PPKM Darurat, Ini Faktanya","Satgas COVID-19 Kota Tanjungpinang menegaskan tidak ada Tim COVID Hunter yang akan memburu warga yang ke luar rumah di atas pukul 19.00 WIB.","DETIKNEWS","14-Jul-2021"
"101","Viral Rusa Keliaran di Jalanan Denpasar Saat PPKM Darurat, Ini Faktanya","Video sejumlah rusa berkeliaran di jalanan Kota Denpasar, Bali, viral di medsos. Simak, begini faktanya.","DETIKNEWS","10-Jul-2021"
"102","Deretan Hoax Air Kelapa: Netralkan Vaksin hingga Obati COVID-19","Senasib dengan 'Susu Beruang', kelapa hijau mendadak jadi buruan belakangan ini. Disinyalir ada anggapan keliru soal manfaat air kelapa untuk COVID-19.","DETIKHEALTH","08-Jul-2021"
"103","Beredar Pesan Ada Pasien Corona Kabur di Kudus, Ternyata...","Pesan tentang pasien terkonfirmasi positif virus Corona atau COVID-19 kabur dari RS Aisyiyah Kudus beredar, viral. Seperti apa faktanya?","DETIKNEWS","06-Jul-2021"
